description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford | Nunnally Johnson | John Steinbeck | Henry Fonda | Jane Darwell,96.0,129,246,8.1,1940,The Grapes of Wrath,106760
"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Haruo Sotozaki | Koyoharu Gotouge | Natsuki Hanae | Akari Kitô | Yoshitsugu Matsuoka,72.0,117,245,8.2,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,93279
"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo | Franco Solinas | Gillo Pontecorvo | Brahim Hadjadj | Jean Martin,96.0,121,244,8.1,1966,The Battle of Algiers,73378
"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet | Paddy Chayefsky | Faye Dunaway | William Holden | Peter Finch,83.0,121,243,8.1,1976,Network,182652
"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",Park Chan-wook | Chung Seo-kyung | Sarah Waters | Park Chan-wook | Kim Min-hee,85.0,145,242,8.1,2016,The Handmaiden,194800
The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Çagan Irmak | Çagan Irmak | Çetin Tekindor | Fikret Kuskan | Hümeyra,,112,241,8.2,2005,My Father and My Son,98976
A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird | Tim McCanlies | Brad Bird | Ted Hughes | Jennifer Aniston,85.0,86,240,8.1,1999,The Iron Giant,252018
"In 1431, Jeanne d'Arc is placed on trial on charges of heresy, and the ecclesiastical jurists attempt to force her to recant her claims of holy visions.",Carl Theodor Dreyer | Joseph Delteil | Carl Theodor Dreyer | Maria Falconetti | Eugene Silvain,98.0,114,239,8.1,1928,The Passion of Joan of Arc,66614
A writer recounts a childhood journey with his friends to find the body of a missing boy.,Rob Reiner | Stephen King | Raynold Gideon | Bruce A. Evans | Wil Wheaton,75.0,89,238,8.1,1986,Stand by Me,473992
"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",Victor Fleming | George Cukor | Norman Taurog | Noel Langley | Florence Ryerson,92.0,102,237,8.1,1939,The Wizard of Oz,457944
"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",Ron Howard | Peter Morgan | Chris Hemsworth | Daniel Brühl | Olivia Wilde,74.0,123,236,8.1,2013,Rush,547234
"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.",Lasse Hallström | Stephen P. Lindsey | Kaneto Shindô | Richard Gere | Joan Allen,,93,235,8.1,2009,Hachi: A Dog's Tale,334885
"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.",Naoko Yamada | Yoshitoki Ôima | Reiko Yoshida | Miyu Irino | Saori Hayami,78.0,130,234,8.2,2016,A Silent Voice: The Movie,129904
"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",William Friedkin | William Peter Blatty | Ellen Burstyn | Max von Sydow | Lee J. Cobb,83.0,122,233,8.1,1973,The Exorcist,488023
"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird | Brad Bird | Craig T. Nelson | Holly Hunter | Samuel L. Jackson,90.0,115,232,8.0,2004,The Incredibles,876803
"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater | Richard Linklater | Julie Delpy | Ethan Hawke | Ethan Hawke,91.0,80,231,8.1,2004,Before Sunset,308076
"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone | Oliver Stone | Keith David | Forest Whitaker | Francesco Quinn,92.0,120,230,8.1,1986,Platoon,463433
Three traumatized or physically disabled World War II veterans return home to the American Midwest to discover that they and their families have been irreparably changed making readjustment difficult.,William Wyler | Robert E. Sherwood | MacKinlay Kantor | Myrna Loy | Fredric March,93.0,170,229,8.1,1946,The Best Years of Our Lives,76057
"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George | Keir Pearson | Terry George | Xolani Mali | Don Cheadle,79.0,121,228,8.1,2004,Hotel Rwanda,387662
A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise | Georg Hurdalek | Howard Lindsay | Russel Crouse | Julie Andrews,63.0,174,227,8.1,1965,The Sound of Music,283496
"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",Lenny Abrahamson | Emma Donoghue | Brie Larson | Jacob Tremblay | Sean Bridgers,86.0,118,226,8.1,2015,Room,473770
"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman | Ingmar Bergman | Gunnar Björnstrand | Bengt Ekerot | Nils Poppe,88.0,96,225,8.1,1957,The Seventh Seal,212319
"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel | T.J. Gnanavel | Rajendra Sapre | Suriya | Lijo Mol Jose,,164,224,8.6,2021,Jai Bhim,230356
"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen | Ethan Coen | Ethan Coen | Joel Coen | Jeff Bridges,71.0,117,223,8.1,1998,The Big Lebowski,903087
24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz | Mathieu Kassovitz | Vincent Cassel | Hubert Koundé | Saïd Taghmaoui,,98,222,8.1,1995,La haine,218244
A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,James Cameron | James Cameron | Gale Anne Hurd | William Wisher | Arnold Schwarzenegger,84.0,107,221,8.1,1984,The Terminator,981746
"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",Nithilan Saminathan | Nithilan Saminathan | Vijay Sethupathi | Anurag Kashyap | Mamta Mohandas,,141,220,8.3,2024,Maharaja,75507
"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy | Josh Singer | Tom McCarthy | Mark Ruffalo | Michael Keaton,93.0,129,219,8.1,2015,Spotlight,526459
"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",Gore Verbinski | Ted Elliott | Terry Rossio | Stuart Beattie | Johnny Depp,63.0,143,218,8.1,2003,Pirates of the Caribbean: The Curse of the Black Pearl,1292309
"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed | Graham Greene | Alexander Korda | Carol Reed | Joseph Cotten,97.0,104,217,8.1,1949,The Third Man,192300
"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu | Kôgo Noda | Yasujirô Ozu | Chishû Ryû | Chieko Higashiyama,100.0,137,216,8.1,1953,Tokyo Story,75819
"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman | Ingmar Bergman | Victor Sjöström | Bibi Andersson | Ingrid Thulin,88.0,92,215,8.1,1957,Wild Strawberries,122455
A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen | Sylvester Stallone | Sylvester Stallone | Talia Shire | Burt Young,70.0,120,214,8.1,1976,Rocky,673522
"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Elia Kazan | Budd Schulberg | Malcolm Johnson | Robert Siodmak | Marlon Brando,91.0,108,213,8.1,1954,On the Waterfront,175073
"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold | James Mangold | Scott Frank | Michael Green | Hugh Jackman,77.0,137,212,8.1,2017,Logan,906854
"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Frank Capra | Sidney Buchman | Lewis R. Foster | Myles Connolly | Jean Arthur,73.0,129,211,8.1,1939,Mr. Smith Goes to Washington,127737
"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",Clyde Bruckman | Buster Keaton | Buster Keaton | Clyde Bruckman | Al Boasberg,,78,210,8.1,1926,The General,104383
"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot | Georges Arnaud | Henri-Georges Clouzot | Jérôme Géronimi | Yves Montand,85.0,156,209,8.1,1953,The Wages of Fear,71985
The lives of a group of friends are forever changed by the Vietnam War.,Michael Cimino | Michael Cimino | Deric Washburn | Louis Garfinkle | Robert De Niro,90.0,183,208,8.1,1978,The Deer Hunter,380954
"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.",Adam Elliot | Adam Elliot | Toni Collette | Philip Seymour Hoffman | Eric Bana,72.0,92,207,8.1,2009,Mary and Max,199026
